debt,amountToPay,TR,juros,fixedCost
179780.62,1988.41,0.774166667,1.001559,67.74
179488.9441,1986.71,0.774166667,1.001162,67.71
179287.2737,1986,0.774166667,1.00167,67.72
179153.798,1986.04,0.774166667,1.002058,67.75
178890.5632,1984.66,0.774166667,1.001339,67.73
178666.2611,1983.7,0.774166667,1.001563,67.72
178487.4994,1983.26,0.774166667,1.001825,67.73
178318.525,1982.92,0.774166667,1.001887,67.74
178169.4371,1982.82,0.774166667,1.002006,67.77
177987.9425,1982.35,0.774166667,1.001831,67.77
177705.4421,1980.8,0.774166667,1.001269,67.76
177499.7275,1980.08,0.774166667,1.001708,67.76
177304.6503,1979.49,0.774166667,1.001775,67.77
